Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359769aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359771aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359772aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359773aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359775aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359776aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359778aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359779aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359780aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359781aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359783aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359784aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359785aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359786aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359787aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359788aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359789aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359790aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359791aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359795aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359796aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359797aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359798aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359802aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359803aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359804aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/M24359809aP1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC1_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC2_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC3_MWY-24-5969-02-b_human_DIA_Astral_2.mzML	/xskydata/proteomic/proteomeData/2024_Q4/20241129_MWY-24-5969-02-b_84ge_human_60SPDdia/sQC4_MWY-24-5969-02-b_human_DIA_Astral_2.mzML
A0A087WWT3	A0A087WWT3	A0A087WWT3_HUMAN	ALB	Albumin	69784400	71514900	25518800	70972300	20752500	66091100	49305700	69007000	172460000	54714400	165623000	73049100	23620000	47099600	34988000	45896800	34702600	44296000	59645000	37715800	55113100	47059400	78301800	35921100	43762800	50121400	35517800	96592700	94414900	95239300	94330100
A0A087WWU8	J3KN67;A0A087WWU8	A0A087WWU8_HUMAN	TPM3	Tropomyosin 3	2657960	3222860	3598590	3353470	2902590	2587030	3357870	3274940	1232500	2983360	2925600	3133780	2606520	2975000	3230880	3216490	3107330	3386110	3088640	2678420	3309000	3320470	3321730	2643850	3609750	3442790	3240300	3195800	3192740	3195920	3089550
A0A087WWZ6	A0A087WWZ6	A0A087WWZ6_HUMAN	PRDM11	PR/SET domain 11	18831.3	NA	15549.9	26413.5	13299.9	23198.9	19264.1	18668	31378.4	16758.1	NA	9541.24	11541.7	13928.4	13595.4	12485.4	22954.4	NA	12462.3	15229.8	NA	17559.8	15614.1	12731.5	NA	13462.8	17758.7	16226.4	NA	20508.7	19593.7
A0A087WYQ1	O15020;A0A087WYQ1;A4QPE4	A0A087WYQ1_HUMAN	SPTBN2	Spectrin beta chain	31609.1	36709.5	47655.9	35331.2	33382.3	38908.8	36992.8	NA	21582.9	36199.6	NA	40756.8	60829.7	17027.3	55864.5	46723.3	49896.7	42532.2	27750.5	35386.5	39858	39136.1	39823.5	32933.3	22800.2	46427.9	47289	25746.1	32937.7	NA	21395.1
A0A087WZ13	Q8IY67;A0A087WZ13	A0A087WZ13_HUMAN	RAVER1	Ribonucleoprotein, PTB binding 1	155936	122443	185605	139513	160626	125977	170392	194324	60544.8	218048	107947	117377	182571	144573	175132	119737	226319	145455	173035	222413	168419	195250	130956	139697	137561	146901	165822	147298	149473	143395	158730
A0A087WZL0	A0A087WZL0	A0A087WZL0_HUMAN	PHLDB1	Pleckstrin homology like domain family B member 1 (Fragment)	29444.7	26836.1	16326.7	48470.2	19828.4	46683.9	28079.2	34885.6	38704.9	11021.5	33868.7	27682.5	17788.6	25809.8	10668.2	19569.8	17571.1	26215.4	8486.45	14095	23963.7	22733.7	22109.1	4798.64	32546.7	28081.5	23078.9	22532.5	24339.2	31254.5	25360.4
A0A087X021	A0A087X021	A0A087X021_HUMAN	UROS	uroporphyrinogen-III synthase (Fragment)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81770.3	90767.9	NA	NA	NA	NA	NA	NA	NA	91036.9	NA	71405.9	75708.8	NA	NA	75598.6	NA	92534.6	90326.3	97174.6
A0A087X0H9	A0A087X0H9	A0A087X0H9_HUMAN	RBM26	RNA binding motif protein 26	2958.24	4392.3	5819.89	3439.04	4364.49	5365.68	6409.33	6006.15	NA	11534	NA	NA	8799.06	5439.28	5978.98	3979.57	3823.6	4475.67	9143.84	11051.8	4098.45	5330.28	6191.4	4498.28	4316.23	4791.77	6549.34	5832.62	6859.86	3221.8	2958.84
A0A087X0M8	A0A087X0M8;H7C0J0	A0A087X0M8_HUMAN	CHL1	Cell adhesion molecule L1 like	8578.33	9180.96	4563.51	10170	3539.78	NA	4327.22	8372.22	21999.4	NA	8721.22	14473.6	1645.43	NA	292.694	6592.4	2837.56	3931.14	NA	NA	NA	NA	4948.27	NA	4887.7	6946.67	NA	4694.15	7089.03	8167.35	9265.99
A0A087X1R1	P53814;A0A087WVP4;A0A087X1R1;C9JP19;C9JQZ8;C9JYU8	A0A087X1R1_HUMAN	SMTN	Smoothelin	859406	939587	242633	242111	322427	1602630	314104	637519	5045380	352380	1932880	581267	259229	592421	179822	282010	308068	353812	393264	275125	364789	436109	567149	279035	273762	404427	236852	1628240	1527730	1710960	1548780
A0A087X1X7;A0A8C8L741;E9PRY8	A0A087X1X7;E9PRY8;A0A8C8L741;E9PJV8;E9PN56;E9PN71;E9PPY1;E9PQR8;E9PRL0;E9PKH7;E9PNC8	A0A087X1X7_HUMAN;A0A8C8L741_HUMAN;E9PRY8_HUMAN	EEF1D	Elongation factor 1-delta	NA	3342.93	939.368	4852.4	2343.23	NA	3042.62	NA	NA	4838.08	NA	4126.43	3359.76	NA	7033.7	4628.23	4098.32	2464.59	5418.27	8664.83	5749.66	NA	3773.2	5818.5	NA	2119.45	2232.81	NA	NA	NA	4200.43
A0A087X2C4;A0A8Q3SI70;A0A8V8TM73	A0A087X2C4;A0A8Q3SI47;A0A8Q3SI70;A0A8Q3SI92;A0A8V8TM73	A0A087X2C4_HUMAN;A0A8Q3SI70_HUMAN;A0A8V8TM73_HUMAN	PCDH7	Protocadherin 7	11324.6	8682.59	NA	9364.96	4949.36	11715.3	3463.13	6948.25	20716.8	657.888	9374.52	5959.92	3766.88	4843.79	NA	3335.32	NA	NA	2602.41	5006.07	7626.58	7271.87	4766.35	NA	NA	4826.97	3263.44	10680.2	14260.1	6324.35	16449.8
A0A096LNH6	A0A096LNH6	A0A096LNH6_HUMAN	DOCK1	Dedicator of cytokinesis 1	3640.46	NA	NA	NA	NA	6773.4	NA	3786.87	1492.62	NA	2848.54	2374.92	3156.96	NA	NA	NA	2952.39	3952.92	NA	NA	1239.14	NA	2756.98	NA	NA	5047.16	NA	NA	NA	NA	NA
A0A096LNZ0;A0A096LP25	A0A096LP25;A0A096LNZ0	A0A096LNZ0_HUMAN;A0A096LP25_HUMAN	AAK1	AP2 associated kinase 1 (Fragment)	16719.8	15824.7	13472.3	20333.6	13882.7	14501.8	9795.61	19655.1	17646.3	16430.4	15251.9	23288.5	13058.9	19713.9	13177.6	13889.9	16003.8	19990.4	9499.97	15787.3	22474.5	14052.5	10811.1	7747.33	8643.13	17141.7	12498	17437.8	21702.7	17826.1	15079
A0A096LP01	A0A096LP01;A0A096LPB2	SIM26_HUMAN	SMIM26	Small integral membrane protein 26	4977.79	3771.06	8680.97	3496.43	16429.6	5846.53	NA	NA	NA	4782.07	NA	NA	13469.9	12943.7	10385.1	10857.2	5954.28	10015.2	16242.8	13789.2	NA	NA	4140.94	NA	7448.89	8388.88	4652.21	9212.4	NA	NA	NA
A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19	A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19	A0A0A0MQW0_HUMAN;A0A0A0MR39_HUMAN;A0A0C4DGV1_HUMAN;H0YN19_HUMAN	MYEF2	Myelin expression factor 2	54591.2	40825.6	66852.8	55533.2	13595.9	51937	19891.7	41731.7	39938.6	NA	NA	13449.7	57957.1	26436.5	6383.39	28358.4	67048.6	30286.2	NA	37893.3	21786.6	30515.7	23231.1	16173.5	23972.9	26592.8	29154.4	31560.7	33569.2	38560.1	42538.7
A0A0A0MR08;A0A8I5KXK1	A0A0A0MR08;A0A8I5KT08;A0A8I5KXK1	A0A0A0MR08_HUMAN;A0A8I5KXK1_HUMAN	USP19	Ubiquitin specific peptidase 19	10832.5	7774.21	11701.5	8514.02	14335.2	4901.71	10291.4	9949.49	4767.67	14617.6	14067.4	8171.53	12037.5	10938.2	13935	12046.9	11505.8	10006.5	9679.25	8397.48	10542.2	13542.2	10458.6	14000.7	10053.9	11424.1	11271.7	18323.5	9743.03	9120.97	11422.3
A0A0A0MR33;A0A0C4DFM0;G3V267;G3V4T6;G3V5T0	A0A0C4DFM0;G3V267;G3V4T6;G3V5T0;A0A0A0MR33	A0A0A0MR33_HUMAN;A0A0C4DFM0_HUMAN;G3V267_HUMAN;G3V4T6_HUMAN;G3V5T0_HUMAN	GSTZ1	Glutathione S-transferase zeta 1	34703.6	29868.3	35331.7	NA	45507.7	17734.7	49666	24588.7	31360.9	27177.2	54251.5	NA	22948.4	31773.3	25805.4	31084.9	21797.5	85298	14590.8	46780.8	26401.1	80789.1	45139.1	24600.3	NA	NA	25553.3	28707.7	39447.3	24541.2	38606.7
A0A0A0MR36	A0A0A0MR36	A0A0A0MR36_HUMAN	MYO5B	Myosin VB (Fragment)	9326.09	20158.1	13347.2	8933.33	9742.24	4599.71	18030.6	8648.13	NA	12622.5	5310.93	21802	11259.3	18162.7	14067.7	19965.1	20551.3	23379.9	16578.3	14895	13729.1	17474.6	20809.4	8949.27	9950.2	14997.9	5718.29	10250.4	11523.9	10902.6	13736.7
A0A0A0MRB5	A0A0A0MRB5	A0A0A0MRB5_HUMAN	MADD	MAP kinase-activating death domain protein	14786.2	10598.9	11805.7	13829.8	9986.9	11361.7	12873.3	12043.5	10789.1	12416.5	15888.3	12457.2	10778.8	13928.6	9533.33	13819.2	10090.2	11335.2	11570.7	11692.5	10745.6	11751.5	11220.8	14255.5	11539.1	10020.9	11859.5	11493.7	10389.6	14599.5	10604.3
A0A0A0MRI2	A0A0A0MRI2	A0A0A0MRI2_HUMAN	SNX6	Sorting nexin	NA	NA	4786.96	5582.39	6345.62	NA	6847.74	NA	NA	NA	26832	5854.63	NA	6861.16	3016.37	5399.05	6633.8	8578.87	NA	8759.28	NA	NA	6457.06	NA	NA	4596.97	7426.22	NA	NA	NA	NA
A0A0A0MRM9	A0A0A0MRM9	A0A0A0MRM9_HUMAN	NOLC1	Nucleolar and coiled-body phosphoprotein 1 (Fragment)	NA	NA	12228.9	NA	13122	NA	NA	NA	NA	15266.8	NA	NA	33609.3	18791.7	22540.6	31832.2	NA	12629.9	30564.7	NA	11963.9	NA	NA	NA	8380.61	NA	15967.5	18232.9	NA	21832.9	NA
A0A0A0MRT2	A0A0A0MRT2	A0A0A0MRT2_HUMAN	WAC	WW domain containing adaptor with coiled-coil	1532.35	NA	814.834	2942.72	NA	NA	2478.45	NA	NA	NA	NA	1176.5	1087	4528.02	3037.25	3066.03	3358.6	NA	NA	4086.06	2279.24	6207.54	NA	NA	2386.66	4741.27	2399.09	NA	NA	1735.78	NA
A0A0A0MRY4	O43307;Q96N96;Q9NR80;A0A0A6YYB3;A0A0A6YYF8;A0A1B0GV82;A0A1B0GV84;A0A1B0GVV2;A0A1B0GWI5;A0A5F9ZHY9;B1AMR3;B1AMR4;A0A087X0P1;A0A0A0MRY4;A0A0C4DFY6;A0A1B0GTF0;A0A1B0GVC4;A0A5F9ZGZ3;A0A5F9ZI31;E7EV07;E9PEM0;E9PFR9;H0YCT6;J3KQJ8	A0A0A0MRY4_HUMAN	NA	Spermatogenesis-associated protein 13	11469.9	8502.65	10137.9	10183.6	6644.58	9195.29	9636.03	8313.92	15003.5	8651.85	11463.6	8273.83	4982.09	6336.99	6751.51	8717.66	8709.99	7267.68	7965.47	10572.3	7393.82	8447.27	8028.85	9757.58	9650.9	9149.28	7383.58	10834.3	6532.12	11757.2	6501.14
A0A0A0MRZ8;P04433	P04433;A0A0A0MRZ8	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	1772060	1275630	1395190	2885150	654161	2591250	1260170	1431140	4648430	550895	8455330	1570050	378766	1649280	728492	969466	962897	1336380	862952	816948	1052620	1109690	964326	874527	1206730	1062640	950057	1862860	1817070	1906440	1663000
A0A0A0MS07;A0A9H3ZR93	A0A0A0MS07;A0A9H3ZR93	A0A0A0MS07_HUMAN;A0A9H3ZR93_HUMAN	IGHG1;IGHG3	Immunoglobulin heavy constant gamma 1 (Fragment)	36890.8	191240	1174920	625298	1832110	2725510	2403410	1406050	948934	2435240	5861000	2103820	389739	853992	1822630	1924450	638293	899864	640420	743657	1129890	6976570	341663	806535	1042240	1167270	2163710	1093650	1167710	1175540	1066440
A0A0A0MS14	A0A0A0MS14	HV145_HUMAN	IGHV1-45	Immunoglobulin heavy variable 1-45	10415.1	2290.85	2750.9	14771.3	8528.24	12247.6	7267.49	15418.5	43671	9216.18	143850	23891.3	853.742	5247.37	4292.98	8472.68	8062.45	15045.2	13326	6019.14	6584.46	7108.43	5135.28	10551	10796	5541.07	3361.59	12100.3	12266.9	16485.8	16593.9
A0A0A0MS15	A0A0A0MS15;A0A0B4J1V6	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	260223	331174	241902	431597	127095	360001	287190	359906	480600	184723	2095330	231230	94652.9	216914	111001	206953	120559	343887	235238	225141	291357	168813	252764	267787	333170	211811	133091	377532	365825	379171	377272
A0A0A0MS29;A0A9L9PYL0;E9PQX8;H7C433	A0A0A0MS29;A0A9L9PYL0;H7C433;E9PQX8	A0A0A0MS29_HUMAN;A0A9L9PYL0_HUMAN;E9PQX8_HUMAN;H7C433_HUMAN	MFF	Mitochondrial fission factor	17526.9	20912.9	27675.9	26753.7	20754.2	22703	14118	19263.1	26240.3	12735.3	NA	11872.8	18750.5	18009.2	24354.6	20994.6	13838.7	25246	26983.8	18863.8	24820.6	17151.7	20033.7	21969.8	24044.8	12386.7	27984.5	20174.5	19095.9	28369.1	25974.7
A0A0A0MSA4	A0A0A0MSA4	A0A0A0MSA4_HUMAN	EPB41L3	Erythrocyte membrane protein band 4.1 like 3	18236.5	33178.9	10419.8	30792.8	7792.07	18257.4	26356.1	29432.7	84582.6	15203.7	58012.8	50598.7	6619.6	31386.6	26017.2	19512.5	22323.8	33228.3	10529.5	23192.6	19885.1	35029.4	37605.8	16429.9	19187.3	31257.1	11159	47499.9	51289.1	46631.5	47480
A0A0A0MSE6;A0A1W2PNG1	A0A0A0MRC3;A0A0A0MSE6;A0A1W2PNG1;A0A1W2PNY7;A0A1W2PPS2	A0A0A0MSE6_HUMAN;A0A1W2PNG1_HUMAN	KCNMA1	Calcium-activated potassium channel subunit alpha-1 (Fragment)	NA	NA	NA	NA	NA	NA	NA	NA	4866.63	NA	2225.74	1415.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	762.252	NA	NA	NA	NA	NA
A0A0A0MSJ8	A0A0A0MSJ8;T1ECW5	A0A0A0MSJ8_HUMAN	PPP6R2	Protein phosphatase 6 regulatory subunit 2 (Fragment)	14472.6	6684.52	6980.37	11288.4	6967.68	NA	7286.41	9994.78	5963.64	10045.1	NA	10013.2	7685.25	5679.51	5417.94	4236	7322.89	8990.02	9217.69	NA	9228.88	6622.18	NA	13230.1	6866.43	8437.1	9867.57	NA	8955.34	6725.44	7274.78
A0A0A0MSZ4;A0A0A0MT64;A0A0A0MTN9;A0A0A0MTR6;A0A0C4DFN8;A0A0C4DGN7;J3QKZ8;J3QQW7;J3QQX3	A0A0A0MSZ4;A0A0A0MT64;A0A0A0MTN9;A0A0A0MTR6;A0A0C4DFN8;A0A0C4DGN7;J3QQX3;J3QKZ8;J3QQW7	A0A0A0MSZ4_HUMAN;A0A0A0MT64_HUMAN;A0A0A0MTN9_HUMAN;A0A0A0MTR6_HUMAN;A0A0C4DFN8_HUMAN;A0A0C4DGN7_HUMAN;J3QKZ8_HUMAN;J3QQW7_HUMAN;J3QQX3_HUMAN	FDXR	NADPH:adrenodoxin oxidoreductase, mitochondrial	NA	4366.38	NA	NA	11050.9	NA	NA	7505.12	NA	NA	NA	NA	3299.8	NA	NA	NA	NA	4135.72	NA	NA	2531.84	4745.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT36	A0A0A0MT36;A0A0C4DH26	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21	42181.9	24899.4	6912.5	20150.3	5376.16	11215.8	13855	22897.8	69555.3	21008.5	84187.9	13012.6	4135.71	26737.8	18098.9	6384.61	4368.92	17551.3	11304.1	20193	41470.7	29271.3	29869.3	NA	20687.1	28057.9	7047.65	18686.7	38054.9	35258.6	32075.7
A0A0A0MT69	A0A0A0MT69	A0A0A0MT69_HUMAN	IGKJ4	Immunoglobulin kappa joining 4 (Fragment)	96389.1	165940	137933	126034	32734.8	99186	104631	168534	222728	93745.5	415195	116767	112035	54886.9	33602.4	118579	43671.8	NA	90701.6	47232.2	80467.6	80248	76472	NA	76796.2	60488.1	257466	125113	98541.9	151233	134907
A0A0A0MT89	A0A0A0MT89	KJ01_HUMAN	IGKJ1	Immunoglobulin kappa joining 1	29216.7	46236.9	23500	48718.6	16268.3	40594.9	32960	27148.5	131657	26769.4	148051	62176.6	24102.3	33992.6	21745.2	38239.6	40405.3	16449.4	52728.2	38465.8	24399.3	46627.3	30224.4	19837.9	28305.9	20769.9	24901.3	44340.4	47054.2	34062.1	42345.2
A0A0A0MT96	A0A0A0MT96	A0A0A0MT96_HUMAN	IGKJ3	Immunoglobulin kappa joining 3 (Fragment)	36965.2	55998	31013.2	15941.8	59354.9	80542.4	279909	50003.6	69907.4	39870.6	719072	89522.9	11314.3	50382.3	18579.9	38339.7	54677.1	35154.5	60351.9	20985.7	44304.3	53879.6	32339.9	13229	102635	33142.1	62316.8	67833.4	70326.3	88452.6	78480.5
A0A0A0MTC1	Q63HN8;A0A0A0MTC1;A0A0A0MTR7	A0A0A0MTC1_HUMAN	RNF213	Ring finger protein 213	12988.4	11370.8	12619.5	26093.8	11655.2	9223.65	14824.5	21717.6	18235	18396.3	29609.7	14274.5	9041.2	15317.9	19619.7	18476.8	15495.1	12348.6	NA	21825.7	19579.9	13816	12510.2	44251.4	18848.5	15152.5	15597.5	23780.1	18575	17959.6	26148.7
A0A0A0MTC7;H0YAQ5	A0A0A0MTC7;H0YAQ5	A0A0A0MTC7_HUMAN;H0YAQ5_HUMAN	LAMA4	Laminin subunit alpha 4	151752	137682	44906.9	145865	40925.9	514325	70166.2	135614	625840	66259	231561	75984	94596.4	118138	34817.3	72168.8	72536.1	79653.7	65148.3	86045.2	100349	99819.5	93704.4	44807.6	118715	56169.4	54843.8	192314	224421	199301	168747
A0A0A0MTE2	A0A0A0MTE2	A0A0A0MTE2_HUMAN	LMO7	LIM domain 7	NA	NA	NA	NA	NA	NA	12141.5	NA	NA	10352.9	NA	49272.3	28409.2	NA	66554.2	NA	NA	NA	NA	40823.7	53056.6	NA	NA	176137	55526.1	NA	NA	NA	NA	NA	NA
A0A0A0MTP2	A0A0A0MTP2	A0A0A0MTP2_HUMAN	PPFIBP1	PPFIA binding protein 1	NA	7735.07	NA	7887.96	NA	NA	11658.4	NA	21438.4	5198.4	16670.7	NA	NA	NA	NA	NA	NA	8204.13	6288.98	NA	6159.71	10703.4	NA	NA	NA	NA	NA	NA	14891.9	12159.7	NA
A0A0B4J1U3	A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	6000.65	NA	5732.94	28358.6	4144.7	5647.46	47238.1	4597.32	10271.8	2480.26	50724	37467	3034.83	4845.44	3527.94	7032.35	1651.92	34431.5	5102.28	5042.24	2797.94	11512.2	12525.7	12045.7	6986.43	6311.91	NA	12616.5	9672.58	12753.3	15640.2
A0A0B4J1U7	A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	425535	303337	278723	356203	60621.1	429114	274752	245282	449207	121437	2494280	346923	69757.4	242711	216278	113157	160228	222620	123770	141883	164349	289499	243767	152652	244826	217051	201012	377245	220428	234178	315330
A0A0B4J1V0	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	1381460	1190380	435533	834902	410913	1255860	1413140	1422030	2067760	369130	5915380	1294370	259446	1230340	530290	689455	438260	1244330	655164	557391	1245840	1003020	829636	532461	1288920	795269	993394	1443830	1466330	1348140	1325960
A0A0B4J1V1	A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21	6228.86	5468.05	5649.02	NA	4377.51	6120.11	NA	5208.36	NA	NA	15695.3	8843.12	1610.02	3467.65	NA	NA	5272.76	11448.2	NA	4919.72	NA	9811.53	NA	NA	9001.55	NA	NA	7400.38	7529.2	NA	11031
A0A0B4J1V2	A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	25399.8	22930.5	46260.7	39464.6	9069.62	33947.4	28694.4	43607.9	62990.9	42303.3	69190.2	45703.7	5008.09	33092.7	14783.2	34536.3	39693.2	17948.4	17642.8	19507	17510.3	33333	17992.9	10079.2	18078.5	30328.9	37062.1	25452.1	21812.9	33967.5	25520.1
A0A0B4J1V6	A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	37146.5	30807.1	16985.1	34003.6	7785.36	91051.2	13806.3	36021.5	103453	24886.6	140257	21798.8	2935.01	29637.4	23569.6	39614.4	11616.5	53969	14837.8	26354.1	33732.6	42602.7	18588.3	13626.5	29876.2	23357.4	12828.4	37753.7	40569.9	39956.4	40150.1
A0A0B4J1X5	P01772;P01767;A0A0B4J1X5;A0A0C4DH42;P0DP02	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	733019	640723	287295	559469	428439	792127	647450	581993	681090	295182	9060730	870823	266977	585606	386754	330115	386771	629237	259318	516173	635243	714912	489604	666530	462224	407731	412479	712340	828511	566861	821856
A0A0B4J1X8	A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43	12514	37847.3	17972.7	42502.2	17244.3	19585.4	38720.1	21497.8	37994.9	16928.1	229307	26568.7	5220.01	22255	11425.8	10383.6	13306.8	90857.6	14481.5	11527.1	25255.1	32414.9	17001.3	14395.9	47847.6	23545.1	8003.73	37487.3	43993.8	36886.4	39583.9
A0A0B4J1Y8	A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	35605.5	35870.5	39657.1	80448.7	NA	NA	56591.6	26493.5	43418	18733.3	49351.2	30381	4771.76	7718.83	37152.9	19314.1	18066.9	18673.9	3759.7	20313.1	23756.4	25167.6	17291.5	NA	20992.7	10099.2	30724.3	42620.1	33543.7	31298.9	37596.3
A0A0B4J1Y9	A0A0B4J1Y9;A0A4W8ZXM2	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	70467.7	120926	73969.9	101967	51857.3	189114	102680	75408.1	141689	61236.8	847706	79407.1	27943.4	93262.4	59151.7	72959.9	44327.5	114580	56957.4	73624.2	141549	81448.9	68851.1	47413.8	86333.6	90767.3	86997	140961	149232	127049	145149
